Mouse,Group,age_days,bw,bwSD,Body_Weight_Score,%twc,%rwc,Thresh_%rwc,Alopecia,Loss_of_fur_colour,Dermatitis,Loss_of_whiskers,Coat_condition,Tumours,Distended_abdomen,Kyphosis,Tail_stiffening,Gait_disorders,Tremor,Forelimb_grip_strength,Body_condition_score,Vestibular_disturbance,Hearing_loss,Cataracts,Corneal_capacity,Eye_discharge_swelling,Microphthalmia,Vision_loss,Menace_reflex,Nasal_discharge,malocclusion,Rectal_prolapse,Vaginal_uterine_penile_prolapse,Diarrhoea,Breathing_rate_depth,Mouse_grimace_scale,Piloerection,FI,FRIGHT_age,AFRAID_score
A-81,Dogs,821.9999998,38.5,-0.902734113,0.0,-15.93886463,-12.5,1,0.0,0.5,0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.35483871,897.0983453682918,125.49815578248322
A-11,Cats,823.9999999,37.5,-0.6169892029999999,1.0,-28.02303263,1.351351351,0,0.0,0.5,0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.31,892.2789436184846,122.18780531542116
A-113,Cats,821.9999998,42.3,-1.988564772,0.25,-2.534562212,27.40963855,1,0.5,0.5,0,0.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,1.0,0.5,1,0.387096774,889.0411877364232,151.20158622983823
A-12,Cats,823.9999999,29.4,1.697544571,0.0,-38.75,-7.8369905960000015,0,0.0,0.5,0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0,0.0,0,0.5,0.5,1,0.25,891.8607794075399,121.32325592699982
A-13,Cats,823.9999999,37.4,-0.5884147120000001,1.0,-19.56989247,-19.56989247,1,0.0,1.0,0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.31,892.2789436184846,105.16802796747211
A-33,Cats,821.9999998,34.3,0.29739451100000003,0.0,-14.03508772,7.523510972,0,0.0,0.5,0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.274193548,892.006170780089,135.20402086497273
A-34,Cats,821.9999998,37.7,-0.674138185,0.0,-3.826530612,15.29051988,1,0.0,0.5,0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0,0.5,0.5,1,0.258064516,888.74790951142,147.35352153133655
A-35,Cats,821.9999998,32.1,0.926033313,0.0,14.23487544,14.23487544,1,0.5,1.0,0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.0,0,0.5,0.0,1,0.266129032,861.8449700361925,128.69034937206828
A-36,Cats,821.9999998,33.0,0.668862894,0.0,11.11111111,11.11111111,1,0.5,0.5,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0,0.5,0.5,1,0.233870968,795.5535087015757,195.61202920356786
A-56,Cats,821.9999998,35.7,-0.102648364,0.0,-6.544502617999999,3.47826087,0,0.0,1.0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,0.0,0,0.5,0.5,1,0.306451613,840.974971988912,122.33736335345287
A-74,Cats,821.9999998,37.8,-0.702712676,0.0,-26.60194175,2.717391304,0,0.5,1.0,0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0,0.5,0,0.5,0.5,1,0.379032258,890.9070464007604,115.77681642152179
A-76,Cats,821.9999998,37.0,-0.474116747,0.0,0.0,17.08860759,1,0.0,1.0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,0.5,0,0.5,0.5,1,0.258064516,807.1838733612918,137.79085154332753
A-93,Cats,821.9999998,30.7,1.326076188,0.25,-38.6,-13.52112676,1,0.0,1.0,0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0,0.0,0,0.5,0.5,1,0.332580645,905.6164022259112,103.00633946763614
A-95,Cats,821.9999998,39.7,-1.245628005,0.25,-6.588235294,17.8041543,1,0.0,1.0,0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.0,0,0.6,0.6,1,0.296774194,886.8096978731969,108.66274909886924
